team,week,goals,assists,shots,shots_on_goal,fouls_committed,yellow_cards,red_cards,offsides,corners,possession,passes,interceptions,home,shot_accuracy,opp_shots,opp_shots_on_goal,opp_yellow_cards,opp_red_cards,opp_goals,opp_assists,opp_fouls_committed,opp_team,points_won
San Martin de San Juan,5.0,3.0,1.0,10.0,4.0,13.0,2.0,0.0,4.0,2.0,0.57,367.0,2.0,1.2,0.4,11.0,5.0,3.0,2.0,1.0,1.0,16.0,Rosario Central,3
Rosario Central,5.0,1.0,1.0,11.0,5.0,16.0,3.0,2.0,3.0,3.0,0.43,207.0,37.0,1.0,0.45454545454545453,10.0,4.0,2.0,0.0,3.0,1.0,13.0,San Martin de San Juan,0
Independiente,5.0,1.0,1.0,12.0,6.0,7.0,3.0,0.0,4.0,6.0,0.48,239.0,7.0,1.2,0.5,5.0,1.0,5.0,1.0,0.0,0.0,22.0,Velez Sarsfield,3
Velez Sarsfield,5.0,0.0,0.0,5.0,1.0,22.0,5.0,1.0,1.0,6.0,0.52,215.0,48.0,1.0,0.2,12.0,6.0,3.0,0.0,1.0,1.0,7.0,Independiente,0
Boca Juniors,5.0,1.0,1.0,8.0,2.0,13.0,3.0,1.0,2.0,3.0,0.38,217.0,20.0,1.2,0.25,8.0,2.0,4.0,1.0,0.0,0.0,19.0,Chacarita,3
Chacarita,5.0,0.0,0.0,8.0,2.0,19.0,4.0,1.0,1.0,8.0,0.62,457.0,18.0,1.0,0.25,8.0,2.0,3.0,1.0,1.0,1.0,13.0,Boca Juniors,0
Tigre,5.0,1.0,1.0,8.0,3.0,12.0,2.0,0.0,9.0,1.0,0.32,128.0,17.0,1.2,0.375,13.0,3.0,1.0,0.0,1.0,0.0,5.0,River Plate,1
River Plate,5.0,1.0,0.0,13.0,3.0,5.0,1.0,0.0,1.0,3.0,0.68,564.0,8.0,1.0,0.23076923076923078,8.0,3.0,2.0,0.0,1.0,1.0,12.0,Tigre,1
Banfield,5.0,1.0,1.0,19.0,5.0,7.0,1.0,0.0,1.0,13.0,0.55,342.0,18.0,1.2,0.2631578947368421,8.0,5.0,5.0,1.0,2.0,2.0,13.0,Arsenal,0
Arsenal,5.0,2.0,2.0,8.0,5.0,13.0,5.0,1.0,3.0,8.0,0.45,239.0,30.0,1.0,0.625,19.0,5.0,1.0,0.0,1.0,1.0,7.0,Banfield,3
Newell's Old Boys,5.0,0.0,0.0,8.0,4.0,14.0,3.0,1.0,2.0,2.0,0.5,296.0,34.0,1.2,0.5,13.0,3.0,2.0,0.0,0.0,0.0,11.0,Godoy Cruz,1
Godoy Cruz,5.0,0.0,0.0,13.0,3.0,11.0,2.0,0.0,1.0,2.0,0.5,304.0,22.0,1.0,0.23076923076923078,8.0,4.0,3.0,1.0,0.0,0.0,14.0,Newell's Old Boys,1
Argentinos Jrs.,1.0,1.0,1.0,10.0,5.0,11.0,2.0,0.0,3.0,8.0,0.48,156.0,46.0,1.2,0.5,8.0,3.0,3.0,0.0,0.0,0.0,12.0,Chacarita,3
Chacarita,1.0,0.0,0.0,8.0,3.0,12.0,3.0,0.0,4.0,2.0,0.52,230.0,36.0,1.0,0.375,10.0,5.0,2.0,0.0,1.0,1.0,11.0,Argentinos Jrs.,0
Lanus,6.0,2.0,2.0,9.0,4.0,7.0,2.0,0.0,0.0,2.0,0.62,554.0,17.0,1.2,0.4444444444444444,10.0,2.0,2.0,0.0,1.0,1.0,9.0,Union Santa Fe,3
Union Santa Fe,6.0,1.0,1.0,10.0,2.0,9.0,2.0,0.0,0.0,8.0,0.38,255.0,42.0,1.0,0.2,9.0,4.0,2.0,0.0,2.0,2.0,7.0,Lanus,0
San Lorenzo,6.0,3.0,3.0,10.0,7.0,11.0,0.0,0.0,0.0,2.0,0.4,198.0,23.0,1.2,0.7,15.0,6.0,3.0,0.0,1.0,0.0,11.0,Defensa y Justicia,3
Defensa y Justicia,6.0,1.0,0.0,15.0,6.0,11.0,3.0,0.0,0.0,8.0,0.6,416.0,30.0,1.0,0.4,10.0,7.0,0.0,0.0,3.0,3.0,11.0,San Lorenzo,0
Colon,6.0,2.0,1.0,12.0,5.0,11.0,1.0,0.0,4.0,5.0,0.5,256.0,48.0,1.2,0.4166666666666667,9.0,1.0,3.0,0.0,0.0,0.0,10.0,Temperley,3
Temperley,6.0,0.0,0.0,9.0,1.0,10.0,3.0,0.0,1.0,2.0,0.5,271.0,15.0,1.0,0.1111111111111111,12.0,5.0,1.0,0.0,2.0,1.0,11.0,Colon,0
Rosario Central,6.0,1.0,1.0,13.0,5.0,12.0,2.0,0.0,1.0,9.0,0.62,333.0,12.0,1.2,0.38461538461538464,7.0,3.0,0.0,0.0,3.0,3.0,13.0,Argentinos Jrs.,0
Argentinos Jrs.,6.0,3.0,3.0,7.0,3.0,13.0,0.0,0.0,4.0,1.0,0.38,117.0,18.0,1.0,0.42857142857142855,13.0,5.0,2.0,0.0,1.0,1.0,12.0,Rosario Central,3
Estudiantes de La Plata,6.0,1.0,1.0,11.0,2.0,9.0,2.0,0.0,1.0,6.0,0.57,334.0,4.0,1.2,0.18181818181818182,8.0,3.0,1.0,0.0,1.0,1.0,15.0,Banfield,1
Banfield,6.0,1.0,1.0,8.0,3.0,15.0,1.0,0.0,1.0,7.0,0.43,209.0,9.0,1.0,0.375,11.0,2.0,2.0,0.0,1.0,1.0,9.0,Estudiantes de La Plata,1
Velez Sarsfield,6.0,1.0,1.0,12.0,3.0,16.0,2.0,0.0,0.0,3.0,0.61,380.0,39.0,1.2,0.25,10.0,5.0,2.0,0.0,0.0,0.0,10.0,Newell's Old Boys,3
Newell's Old Boys,6.0,0.0,0.0,10.0,5.0,10.0,2.0,0.0,0.0,3.0,0.39,170.0,14.0,1.0,0.5,12.0,3.0,2.0,0.0,1.0,1.0,16.0,Velez Sarsfield,0
Racing Club,6.0,1.0,1.0,12.0,5.0,7.0,1.0,0.0,3.0,7.0,0.6,379.0,31.0,1.2,0.4166666666666667,16.0,4.0,3.0,1.0,0.0,0.0,9.0,Tigre,3
Tigre,6.0,0.0,0.0,16.0,4.0,9.0,3.0,1.0,0.0,6.0,0.4,192.0,18.0,1.0,0.25,12.0,5.0,1.0,0.0,1.0,1.0,7.0,Racing Club,0
Chacarita,6.0,1.0,1.0,3.0,2.0,16.0,2.0,0.0,3.0,4.0,0.53,238.0,5.0,1.2,0.6666666666666666,11.0,8.0,1.0,0.0,2.0,2.0,12.0,Independiente,0
Independiente,6.0,2.0,2.0,11.0,8.0,12.0,1.0,0.0,6.0,5.0,0.47,211.0,10.0,1.0,0.7272727272727273,3.0,2.0,2.0,0.0,1.0,1.0,16.0,Chacarita,3
Godoy Cruz,6.0,3.0,1.0,11.0,5.0,10.0,0.0,0.0,0.0,3.0,0.46,283.0,2.0,1.2,0.45454545454545453,10.0,2.0,3.0,0.0,0.0,0.0,10.0,Gimnasia LP,3
Gimnasia LP,6.0,0.0,0.0,10.0,2.0,10.0,3.0,0.0,3.0,2.0,0.54,353.0,26.0,1.0,0.2,11.0,5.0,0.0,0.0,3.0,1.0,10.0,Godoy Cruz,0
Belgrano,6.0,0.0,0.0,8.0,0.0,18.0,2.0,0.0,0.0,3.0,0.43,140.0,2.0,1.2,0.0,7.0,4.0,1.0,0.0,0.0,0.0,14.0,Talleres,1
Talleres,6.0,0.0,0.0,7.0,4.0,14.0,1.0,0.0,2.0,2.0,0.57,226.0,19.0,1.0,0.5714285714285714,8.0,0.0,2.0,0.0,0.0,0.0,18.0,Belgrano,1
River Plate,6.0,2.0,1.0,21.0,7.0,5.0,1.0,0.0,2.0,8.0,0.62,461.0,11.0,1.2,0.3333333333333333,13.0,6.0,4.0,0.0,2.0,1.0,11.0,Atletico Tucuman,1
Atletico Tucuman,6.0,2.0,1.0,13.0,6.0,11.0,4.0,0.0,6.0,3.0,0.38,197.0,20.0,1.0,0.46153846153846156,21.0,7.0,1.0,0.0,2.0,1.0,5.0,River Plate,1
Patronato,6.0,0.0,0.0,9.0,3.0,13.0,3.0,0.0,4.0,5.0,0.39,151.0,25.0,1.2,0.3333333333333333,14.0,4.0,2.0,0.0,2.0,2.0,13.0,Boca Juniors,0
Boca Juniors,6.0,2.0,2.0,14.0,4.0,13.0,2.0,0.0,1.0,6.0,0.61,382.0,6.0,1.0,0.2857142857142857,9.0,3.0,3.0,0.0,0.0,0.0,13.0,Patronato,3
Olimpo,6.0,0.0,0.0,10.0,2.0,13.0,1.0,0.0,0.0,2.0,0.48,221.0,17.0,1.2,0.2,10.0,5.0,4.0,0.0,2.0,2.0,10.0,Huracan,0
Huracan,6.0,2.0,2.0,10.0,5.0,10.0,4.0,0.0,2.0,7.0,0.52,251.0,52.0,1.0,0.5,10.0,2.0,1.0,0.0,0.0,0.0,13.0,Olimpo,3
Arsenal,6.0,0.0,0.0,11.0,3.0,12.0,0.0,0.0,2.0,9.0,0.47,222.0,23.0,1.2,0.2727272727272727,15.0,5.0,2.0,0.0,1.0,0.0,15.0,San Martin de San Juan,0
San Martin de San Juan,6.0,1.0,0.0,15.0,5.0,15.0,2.0,0.0,1.0,7.0,0.53,269.0,30.0,1.0,0.3333333333333333,11.0,3.0,0.0,0.0,0.0,0.0,12.0,Arsenal,3
Banfield,7.0,1.0,0.0,9.0,2.0,15.0,1.0,0.0,2.0,5.0,0.54,289.0,30.0,1.2,0.2222222222222222,7.0,1.0,4.0,0.0,1.0,0.0,18.0,Colon,1
Colon,7.0,1.0,0.0,7.0,1.0,18.0,4.0,0.0,4.0,2.0,0.46,218.0,31.0,1.0,0.14285714285714285,9.0,2.0,1.0,0.0,1.0,0.0,15.0,Banfield,1
Argentinos Jrs.,7.0,3.0,2.0,15.0,4.0,10.0,2.0,0.0,0.0,2.0,0.65,370.0,14.0,1.2,0.26666666666666666,11.0,4.0,5.0,0.0,2.0,1.0,22.0,Arsenal,3
Arsenal,7.0,2.0,1.0,11.0,4.0,22.0,5.0,0.0,1.0,2.0,0.35,107.0,15.0,1.0,0.36363636363636365,15.0,4.0,2.0,0.0,3.0,2.0,10.0,Argentinos Jrs.,0
Huracan,7.0,4.0,4.0,8.0,6.0,18.0,1.0,0.0,1.0,1.0,0.3,140.0,5.0,1.2,0.75,10.0,2.0,1.0,0.0,0.0,0.0,9.0,Lanus,3
Lanus,7.0,0.0,0.0,10.0,2.0,9.0,1.0,0.0,1.0,0.0,0.7,516.0,27.0,1.0,0.2,8.0,6.0,1.0,0.0,4.0,4.0,18.0,Huracan,0
Union Santa Fe,7.0,2.0,1.0,10.0,4.0,8.0,1.0,0.0,3.0,5.0,0.46,251.0,24.0,1.2,0.4,4.0,1.0,1.0,0.0,0.0,0.0,8.0,Godoy Cruz,3
Godoy Cruz,7.0,0.0,0.0,4.0,1.0,8.0,1.0,0.0,2.0,2.0,0.54,315.0,14.0,1.0,0.25,10.0,4.0,1.0,0.0,2.0,1.0,8.0,Union Santa Fe,0
San Martin de San Juan,7.0,1.0,0.0,4.0,1.0,16.0,3.0,0.0,0.0,3.0,0.42,239.0,8.0,1.2,0.25,10.0,1.0,2.0,0.0,0.0,0.0,7.0,Estudiantes de La Plata,3
Estudiantes de La Plata,7.0,0.0,0.0,10.0,1.0,7.0,2.0,0.0,1.0,5.0,0.58,366.0,28.0,1.0,0.1,4.0,1.0,3.0,0.0,1.0,0.0,16.0,San Martin de San Juan,0
Atletico Tucuman,7.0,3.0,1.0,15.0,7.0,8.0,1.0,0.0,3.0,2.0,0.46,241.0,12.0,1.2,0.4666666666666667,12.0,5.0,0.0,0.0,1.0,1.0,9.0,Racing Club,3
Racing Club,7.0,1.0,1.0,12.0,5.0,9.0,0.0,0.0,1.0,10.0,0.54,333.0,13.0,1.0,0.4166666666666667,15.0,7.0,1.0,0.0,3.0,1.0,8.0,Atletico Tucuman,0
Talleres,7.0,4.0,3.0,14.0,7.0,11.0,0.0,0.0,2.0,6.0,0.5,271.0,9.0,1.2,0.5,13.0,4.0,4.0,0.0,0.0,0.0,11.0,River Plate,3
River Plate,7.0,0.0,0.0,13.0,4.0,11.0,4.0,0.0,1.0,5.0,0.5,274.0,6.0,1.0,0.3076923076923077,14.0,7.0,0.0,0.0,4.0,3.0,11.0,Talleres,0
Newell's Old Boys,7.0,2.0,2.0,13.0,6.0,16.0,2.0,0.0,3.0,4.0,0.5,251.0,14.0,1.2,0.46153846153846156,15.0,2.0,2.0,0.0,1.0,0.0,18.0,Chacarita,3
Chacarita,7.0,1.0,0.0,15.0,2.0,18.0,2.0,0.0,1.0,4.0,0.5,221.0,11.0,1.0,0.13333333333333333,13.0,6.0,2.0,0.0,2.0,2.0,16.0,Newell's Old Boys,0
Gimnasia LP,7.0,4.0,3.0,13.0,6.0,13.0,2.0,0.0,0.0,2.0,0.42,194.0,11.0,1.2,0.46153846153846156,10.0,5.0,2.0,0.0,0.0,0.0,13.0,Velez Sarsfield,3
Velez Sarsfield,7.0,0.0,0.0,10.0,5.0,13.0,2.0,0.0,2.0,6.0,0.58,368.0,6.0,1.0,0.5,13.0,6.0,2.0,0.0,4.0,3.0,13.0,Gimnasia LP,0
Temperley,7.0,0.0,0.0,13.0,3.0,20.0,4.0,0.0,0.0,8.0,0.51,232.0,13.0,1.2,0.23076923076923078,10.0,5.0,1.0,0.0,2.0,1.0,8.0,San Lorenzo,0
San Lorenzo,7.0,2.0,1.0,10.0,5.0,8.0,1.0,0.0,4.0,3.0,0.49,214.0,4.0,1.0,0.5,13.0,3.0,4.0,0.0,0.0,0.0,20.0,Temperley,3
Boca Juniors,7.0,4.0,3.0,16.0,6.0,14.0,2.0,0.0,2.0,4.0,0.56,355.0,12.0,1.2,0.375,15.0,6.0,4.0,1.0,0.0,0.0,12.0,Belgrano,3
Belgrano,7.0,0.0,0.0,15.0,6.0,12.0,4.0,1.0,2.0,5.0,0.44,261.0,4.0,1.0,0.4,16.0,6.0,2.0,0.0,4.0,3.0,14.0,Boca Juniors,0
Independiente,7.0,1.0,0.0,23.0,4.0,1.0,1.0,0.0,0.0,18.0,0.71,534.0,6.0,1.2,0.17391304347826086,7.0,1.0,5.0,0.0,1.0,1.0,20.0,Patronato,1
Patronato,7.0,1.0,1.0,7.0,1.0,20.0,5.0,0.0,3.0,2.0,0.29,100.0,0.0,1.0,0.14285714285714285,23.0,4.0,1.0,0.0,1.0,0.0,1.0,Independiente,1
Defensa y Justicia,7.0,1.0,1.0,18.0,3.0,12.0,0.0,0.0,3.0,7.0,0.56,386.0,33.0,1.2,0.16666666666666666,5.0,3.0,4.0,0.0,1.0,1.0,10.0,Olimpo,1
Olimpo,7.0,1.0,1.0,5.0,3.0,10.0,4.0,0.0,1.0,3.0,0.44,259.0,33.0,1.0,0.6,18.0,3.0,0.0,0.0,1.0,1.0,12.0,Defensa y Justicia,1
Tigre,7.0,1.0,0.0,12.0,4.0,21.0,1.0,0.0,1.0,4.0,0.41,98.0,33.0,1.2,0.3333333333333333,19.0,6.0,3.0,0.0,1.0,0.0,11.0,Rosario Central,1
Rosario Central,7.0,1.0,0.0,19.0,6.0,11.0,3.0,0.0,3.0,8.0,0.59,260.0,20.0,1.0,0.3157894736842105,12.0,4.0,1.0,0.0,1.0,0.0,21.0,Tigre,1
Chacarita,8.0,2.0,2.0,10.0,4.0,16.0,1.0,0.0,0.0,5.0,0.43,212.0,24.0,1.2,0.4,9.0,3.0,1.0,0.0,0.0,0.0,10.0,Gimnasia LP,3
Gimnasia LP,8.0,0.0,0.0,9.0,3.0,10.0,1.0,0.0,4.0,9.0,0.57,329.0,25.0,1.0,0.3333333333333333,10.0,4.0,1.0,0.0,2.0,2.0,16.0,Chacarita,0
Godoy Cruz,8.0,2.0,2.0,8.0,2.0,16.0,2.0,0.0,1.0,3.0,0.44,258.0,11.0,1.2,0.25,12.0,4.0,0.0,1.0,1.0,1.0,7.0,Huracan,3
Huracan,8.0,1.0,1.0,12.0,4.0,7.0,0.0,1.0,4.0,3.0,0.56,388.0,17.0,1.0,0.3333333333333333,8.0,2.0,2.0,0.0,2.0,2.0,16.0,Godoy Cruz,0
Colon,8.0,3.0,3.0,13.0,6.0,11.0,2.0,0.0,3.0,5.0,0.49,278.0,30.0,1.2,0.46153846153846156,8.0,6.0,1.0,0.0,3.0,2.0,12.0,San Martin de San Juan,1
San Martin de San Juan,8.0,3.0,2.0,8.0,6.0,12.0,1.0,0.0,1.0,6.0,0.51,285.0,4.0,1.0,0.75,13.0,6.0,2.0,0.0,3.0,3.0,11.0,Colon,1
Lanus,8.0,0.0,0.0,12.0,3.0,10.0,1.0,0.0,1.0,8.0,0.7,645.0,14.0,1.2,0.25,6.0,3.0,1.0,0.0,2.0,2.0,14.0,Olimpo,0
Olimpo,8.0,2.0,2.0,6.0,3.0,14.0,1.0,0.0,4.0,2.0,0.3,188.0,10.0,1.0,0.5,12.0,3.0,1.0,0.0,0.0,0.0,10.0,Lanus,3
San Lorenzo,8.0,0.0,0.0,14.0,6.0,15.0,1.0,0.0,0.0,11.0,0.6,293.0,7.0,1.2,0.42857142857142855,4.0,1.0,0.0,0.0,1.0,0.0,14.0,Banfield,0
Banfield,8.0,1.0,0.0,4.0,1.0,14.0,0.0,0.0,4.0,3.0,0.4,115.0,3.0,1.0,0.25,14.0,6.0,1.0,0.0,0.0,0.0,15.0,San Lorenzo,3
Rosario Central,8.0,0.0,0.0,10.0,3.0,13.0,2.0,1.0,1.0,5.0,0.58,324.0,15.0,1.2,0.3,8.0,1.0,2.0,1.0,1.0,0.0,11.0,Atletico Tucuman,0
Atletico Tucuman,8.0,1.0,0.0,8.0,1.0,11.0,2.0,1.0,2.0,1.0,0.42,159.0,7.0,1.0,0.125,10.0,3.0,2.0,1.0,0.0,0.0,13.0,Rosario Central,3
Racing Club,8.0,1.0,1.0,14.0,1.0,16.0,5.0,1.0,3.0,8.0,0.48,261.0,14.0,1.2,0.07142857142857142,16.0,5.0,3.0,1.0,1.0,1.0,14.0,Talleres,1
Talleres,8.0,1.0,1.0,16.0,5.0,14.0,3.0,1.0,2.0,7.0,0.52,312.0,11.0,1.0,0.3125,14.0,1.0,5.0,1.0,1.0,1.0,16.0,Racing Club,1
Temperley,8.0,1.0,0.0,11.0,7.0,15.0,3.0,0.0,1.0,5.0,0.43,177.0,45.0,1.2,0.6363636363636364,11.0,9.0,2.0,0.0,4.0,3.0,13.0,Defensa y Justicia,0
Defensa y Justicia,8.0,4.0,3.0,11.0,9.0,13.0,2.0,0.0,1.0,2.0,0.57,321.0,16.0,1.0,0.8181818181818182,11.0,7.0,3.0,0.0,1.0,0.0,15.0,Temperley,3
Estudiantes de La Plata,8.0,1.0,1.0,10.0,1.0,10.0,1.0,0.0,3.0,9.0,0.45,182.0,51.0,1.2,0.1,9.0,3.0,3.0,1.0,0.0,0.0,15.0,Argentinos Jrs.,3
Argentinos Jrs.,8.0,0.0,0.0,9.0,3.0,15.0,3.0,1.0,2.0,2.0,0.55,298.0,7.0,1.0,0.3333333333333333,10.0,1.0,1.0,0.0,1.0,1.0,10.0,Estudiantes de La Plata,0
Belgrano,8.0,0.0,0.0,19.0,5.0,14.0,0.0,1.0,1.0,9.0,0.47,192.0,10.0,1.2,0.2631578947368421,8.0,2.0,3.0,0.0,0.0,0.0,9.0,Independiente,1
Independiente,8.0,0.0,0.0,8.0,2.0,9.0,3.0,0.0,2.0,5.0,0.53,270.0,4.0,1.0,0.25,19.0,5.0,0.0,1.0,0.0,0.0,14.0,Belgrano,1
River Plate,8.0,1.0,1.0,11.0,5.0,19.0,6.0,1.0,0.0,12.0,0.59,270.0,3.0,1.2,0.45454545454545453,10.0,5.0,4.0,1.0,2.0,1.0,23.0,Boca Juniors,0
Boca Juniors,8.0,2.0,1.0,10.0,5.0,23.0,4.0,1.0,2.0,3.0,0.41,134.0,8.0,1.0,0.5,11.0,5.0,6.0,1.0,1.0,1.0,19.0,River Plate,3
Arsenal,8.0,0.0,0.0,11.0,2.0,12.0,0.0,0.0,3.0,1.0,0.54,256.0,13.0,1.2,0.18181818181818182,17.0,4.0,2.0,0.0,0.0,0.0,19.0,Tigre,1
Tigre,8.0,0.0,0.0,17.0,4.0,19.0,2.0,0.0,2.0,7.0,0.46,182.0,22.0,1.0,0.23529411764705882,11.0,2.0,0.0,0.0,0.0,0.0,12.0,Arsenal,1
Patronato,8.0,0.0,0.0,10.0,5.0,10.0,1.0,0.0,1.0,2.0,0.55,355.0,17.0,1.2,0.5,10.0,5.0,1.0,1.0,0.0,0.0,15.0,Newell's Old Boys,1
Newell's Old Boys,8.0,0.0,0.0,10.0,5.0,15.0,1.0,1.0,2.0,5.0,0.45,286.0,26.0,1.0,0.5,10.0,5.0,1.0,0.0,0.0,0.0,10.0,Patronato,1
Velez Sarsfield,8.0,0.0,0.0,9.0,3.0,11.0,2.0,0.0,2.0,5.0,0.52,366.0,14.0,1.2,0.3333333333333333,15.0,10.0,1.0,0.0,2.0,2.0,10.0,Union Santa Fe,0
Union Santa Fe,8.0,2.0,2.0,15.0,10.0,10.0,1.0,0.0,0.0,9.0,0.48,289.0,28.0,1.0,0.6666666666666666,9.0,3.0,2.0,0.0,0.0,0.0,11.0,Velez Sarsfield,3
Argentinos Jrs.,9.0,0.0,0.0,21.0,4.0,12.0,1.0,0.0,1.0,6.0,0.6,325.0,25.0,1.2,0.19047619047619047,11.0,4.0,2.0,0.0,1.0,1.0,21.0,Colon,0
Colon,9.0,1.0,1.0,11.0,4.0,21.0,2.0,0.0,2.0,6.0,0.4,156.0,32.0,1.0,0.36363636363636365,21.0,4.0,1.0,0.0,0.0,0.0,12.0,Argentinos Jrs.,3
Atletico Tucuman,9.0,0.0,0.0,17.0,7.0,12.0,1.0,0.0,2.0,5.0,0.6,366.0,20.0,1.2,0.4117647058823529,10.0,1.0,3.0,0.0,0.0,0.0,17.0,Arsenal,1
Arsenal,9.0,0.0,0.0,10.0,1.0,17.0,3.0,0.0,3.0,3.0,0.4,173.0,18.0,1.0,0.1,17.0,7.0,1.0,0.0,0.0,0.0,12.0,Atletico Tucuman,1
Newell's Old Boys,9.0,0.0,0.0,12.0,2.0,16.0,2.0,0.0,1.0,5.0,0.54,380.0,29.0,1.2,0.16666666666666666,9.0,4.0,2.0,0.0,1.0,0.0,15.0,Belgrano,0
Belgrano,9.0,1.0,0.0,9.0,4.0,15.0,2.0,0.0,0.0,1.0,0.46,271.0,14.0,1.0,0.4444444444444444,12.0,2.0,2.0,0.0,0.0,0.0,16.0,Newell's Old Boys,3
Defensa y Justicia,9.0,3.0,2.0,15.0,6.0,7.0,1.0,0.0,3.0,4.0,0.56,448.0,45.0,1.2,0.4,5.0,2.0,3.0,1.0,0.0,0.0,9.0,Lanus,3
Lanus,9.0,0.0,0.0,5.0,2.0,9.0,3.0,1.0,0.0,3.0,0.44,323.0,13.0,1.0,0.4,15.0,6.0,1.0,0.0,3.0,2.0,7.0,Defensa y Justicia,0
Banfield,9.0,0.0,0.0,8.0,3.0,13.0,1.0,0.0,1.0,10.0,0.53,213.0,10.0,1.2,0.375,5.0,2.0,4.0,0.0,0.0,0.0,18.0,Temperley,1
Temperley,9.0,0.0,0.0,5.0,2.0,18.0,4.0,0.0,1.0,0.0,0.47,178.0,12.0,1.0,0.4,8.0,3.0,1.0,0.0,0.0,0.0,13.0,Banfield,1
San Martin de San Juan,9.0,1.0,1.0,6.0,1.0,16.0,3.0,0.0,2.0,4.0,0.54,268.0,7.0,1.2,0.16666666666666666,13.0,8.0,4.0,0.0,3.0,3.0,15.0,San Lorenzo,0
San Lorenzo,9.0,3.0,3.0,13.0,8.0,15.0,4.0,0.0,3.0,6.0,0.46,198.0,9.0,1.0,0.6153846153846154,6.0,1.0,3.0,0.0,1.0,1.0,16.0,San Martin de San Juan,3
Independiente,9.0,1.0,1.0,10.0,3.0,16.0,3.0,0.0,1.0,4.0,0.52,278.0,43.0,1.2,0.3,8.0,2.0,2.0,1.0,0.0,0.0,15.0,River Plate,3
River Plate,9.0,0.0,0.0,8.0,2.0,15.0,2.0,1.0,2.0,5.0,0.48,259.0,18.0,1.0,0.25,10.0,3.0,3.0,0.0,1.0,1.0,16.0,Independiente,0
Union Santa Fe,9.0,0.0,0.0,8.0,1.0,10.0,2.0,0.0,1.0,4.0,0.59,294.0,7.0,1.2,0.125,6.0,2.0,1.0,0.0,0.0,0.0,10.0,Chacarita,1
Chacarita,9.0,0.0,0.0,6.0,2.0,10.0,1.0,0.0,1.0,1.0,0.41,137.0,4.0,1.0,0.3333333333333333,8.0,1.0,2.0,0.0,0.0,0.0,10.0,Union Santa Fe,1
Tigre,9.0,2.0,0.0,11.0,3.0,10.0,1.0,0.0,2.0,2.0,0.35,123.0,52.0,1.2,0.2727272727272727,10.0,1.0,3.0,0.0,0.0,0.0,15.0,Estudiantes de La Plata,3
Estudiantes de La Plata,9.0,0.0,0.0,10.0,1.0,15.0,3.0,0.0,1.0,7.0,0.65,470.0,0.0,1.0,0.1,11.0,3.0,1.0,0.0,2.0,0.0,10.0,Tigre,0
Boca Juniors,9.0,1.0,0.0,17.0,4.0,14.0,4.0,0.0,1.0,7.0,0.68,398.0,5.0,1.2,0.23529411764705882,6.0,3.0,4.0,0.0,2.0,2.0,19.0,Racing Club,0
Racing Club,9.0,2.0,2.0,6.0,3.0,19.0,4.0,0.0,1.0,2.0,0.32,96.0,6.0,1.0,0.5,17.0,4.0,4.0,0.0,1.0,0.0,14.0,Boca Juniors,3
Talleres,9.0,0.0,0.0,16.0,6.0,12.0,1.0,0.0,5.0,5.0,0.67,427.0,14.0,1.2,0.375,6.0,3.0,6.0,1.0,1.0,1.0,27.0,Rosario Central,0
Rosario Central,9.0,1.0,1.0,6.0,3.0,27.0,6.0,1.0,0.0,0.0,0.33,105.0,9.0,1.0,0.5,16.0,6.0,1.0,0.0,0.0,0.0,12.0,Talleres,3
Gimnasia LP,9.0,2.0,2.0,18.0,5.0,13.0,1.0,0.0,2.0,4.0,0.64,467.0,35.0,1.2,0.2777777777777778,3.0,1.0,1.0,2.0,0.0,0.0,20.0,Patronato,3
Patronato,9.0,0.0,0.0,3.0,1.0,20.0,1.0,2.0,1.0,7.0,0.36,150.0,16.0,1.0,0.3333333333333333,18.0,5.0,1.0,0.0,2.0,2.0,13.0,Gimnasia LP,0
Olimpo,9.0,1.0,1.0,10.0,6.0,14.0,2.0,0.0,2.0,7.0,0.49,169.0,28.0,1.2,0.6,15.0,5.0,2.0,0.0,1.0,0.0,9.0,Godoy Cruz,1
Godoy Cruz,9.0,1.0,0.0,15.0,5.0,9.0,2.0,0.0,2.0,7.0,0.51,200.0,10.0,1.0,0.3333333333333333,10.0,6.0,2.0,0.0,1.0,1.0,14.0,Olimpo,1
Huracan,9.0,1.0,0.0,10.0,2.0,19.0,2.0,0.0,3.0,1.0,0.41,151.0,30.0,1.2,0.2,11.0,1.0,3.0,0.0,0.0,0.0,20.0,Velez Sarsfield,3
Velez Sarsfield,9.0,0.0,0.0,11.0,1.0,20.0,3.0,0.0,0.0,4.0,0.59,322.0,13.0,1.0,0.09090909090909091,10.0,2.0,2.0,0.0,1.0,0.0,19.0,Huracan,0
River Plate,12.0,2.0,1.0,16.0,6.0,7.0,2.0,0.0,0.0,5.0,0.64,439.0,12.0,1.2,0.375,15.0,4.0,4.0,0.0,0.0,0.0,17.0,Union Santa Fe,3
Union Santa Fe,12.0,0.0,0.0,15.0,4.0,17.0,4.0,0.0,1.0,7.0,0.36,155.0,19.0,1.0,0.26666666666666666,16.0,6.0,2.0,0.0,2.0,1.0,7.0,River Plate,0
Velez Sarsfield,12.0,0.0,0.0,17.0,4.0,21.0,2.0,0.0,2.0,5.0,0.66,381.0,35.0,1.2,0.23529411764705882,4.0,2.0,3.0,0.0,1.0,1.0,10.0,Godoy Cruz,0
